hidden_layers,n_layers,total_units,learning_rate,alpha,batch_size,n_iterations,val_accuracy,val_precision,val_recall,val_f1_score,val_roc_auc,test_accuracy,test_f1_score,test_roc_auc
"(64, 32, 16)",3,112,0.004,0.0003,10,22,0.7466666666666667,0.7768595041322314,0.8952380952380953,0.831858407079646,0.741164021164021,0.7333333333333333,0.8181818181818182,0.7470899470899471
"(64, 32, 16)",3,112,0.004,0.0003,11,21,0.7266666666666667,0.7807017543859649,0.8476190476190476,0.8127853881278538,0.7496296296296296,0.7466666666666667,0.8173076923076923,0.7913227513227513
"(64, 32, 16)",3,112,0.004,0.0003,12,18,0.74,0.7894736842105263,0.8571428571428571,0.821917808219178,0.7642328042328043,0.7533333333333333,0.821256038647343,0.794074074074074
"(64, 32, 16)",3,112,0.004,0.0003,13,29,0.7333333333333333,0.7777777777777778,0.8666666666666667,0.8198198198198198,0.7405291005291006,0.78,0.8493150684931506,0.7898412698412699
"(64, 32, 16)",3,112,0.004,0.0004,10,20,0.7266666666666667,0.7758620689655172,0.8571428571428571,0.8144796380090498,0.7576719576719577,0.8,0.8598130841121495,0.8162962962962963
"(64, 32, 16)",3,112,0.004,0.0004,11,26,0.6933333333333334,0.7322834645669292,0.8857142857142857,0.8017241379310345,0.7104761904761906,0.7733333333333333,0.8468468468468469,0.7887830687830687
"(64, 32, 16)",3,112,0.004,0.0004,12,23,0.7666666666666667,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.7648677248677248,0.7666666666666667,0.8458149779735683,0.7811640211640211
"(64, 32, 16)",3,112,0.004,0.0004,13,23,0.7266666666666667,0.7666666666666667,0.8761904761904762,0.8177777777777778,0.7161904761904762,0.7533333333333333,0.832579185520362,0.7743915343915344
"(64, 32, 16)",3,112,0.004,0.0005,10,18,0.72,0.7647058823529411,0.8666666666666667,0.8125,0.7657142857142858,0.7333333333333333,0.8130841121495327,0.7765079365079365
"(64, 32, 16)",3,112,0.004,0.0005,11,20,0.7333333333333333,0.7981651376146789,0.8285714285714286,0.8130841121495327,0.731005291005291,0.7333333333333333,0.8058252427184466,0.7631746031746031
"(64, 32, 16)",3,112,0.004,0.0005,12,22,0.72,0.7603305785123967,0.8761904761904762,0.8141592920353983,0.7288888888888889,0.74,0.8266666666666667,0.7580952380952382
"(64, 32, 16)",3,112,0.004,0.0005,13,23,0.7333333333333333,0.7777777777777778,0.8666666666666667,0.8198198198198198,0.7540740740740741,0.74,0.821917808219178,0.780952380952381
"(64, 32, 16)",3,112,0.004,0.0006,10,33,0.6866666666666666,0.7788461538461539,0.7714285714285715,0.7751196172248804,0.7075132275132275,0.7266666666666667,0.7939698492462312,0.7894179894179894
"(64, 32, 16)",3,112,0.004,0.0006,11,25,0.7,0.7830188679245284,0.7904761904761904,0.7867298578199052,0.7456084656084656,0.7466666666666667,0.819047619047619,0.7803174603174603
"(64, 32, 16)",3,112,0.004,0.0006,12,33,0.7,0.7727272727272727,0.8095238095238095,0.7906976744186046,0.7257142857142859,0.7533333333333333,0.8294930875576036,0.7635978835978836
"(64, 32, 16)",3,112,0.004,0.0006,13,27,0.6666666666666666,0.7570093457943925,0.7714285714285715,0.7641509433962265,0.7081481481481481,0.7466666666666667,0.8155339805825242,0.7951322751322751
"(64, 32, 16)",3,112,0.004,0.0007,10,22,0.68,0.7355371900826446,0.8476190476190476,0.7876106194690266,0.6948148148148149,0.72,0.8073394495412844,0.7597883597883598
"(64, 32, 16)",3,112,0.004,0.0007,11,18,0.7133333333333334,0.7870370370370371,0.8095238095238095,0.7981220657276995,0.7655026455026455,0.7733333333333333,0.8411214953271028,0.7847619047619047
"(64, 32, 16)",3,112,0.004,0.0007,12,19,0.72,0.7560975609756098,0.8857142857142857,0.8157894736842105,0.722962962962963,0.74,0.821917808219178,0.7443386243386243
"(64, 32, 16)",3,112,0.004,0.0007,13,23,0.7266666666666667,0.7666666666666667,0.8761904761904762,0.8177777777777778,0.7346031746031745,0.76,0.8378378378378378,0.7813756613756614
"(64, 32, 16)",3,112,0.005,0.0003,10,27,0.72,0.7480314960629921,0.9047619047619048,0.8189655172413793,0.6838095238095238,0.7333333333333333,0.8165137614678899,0.7422222222222222
"(64, 32, 16)",3,112,0.005,0.0003,11,28,0.68,0.7394957983193278,0.8380952380952381,0.7857142857142857,0.7159788359788359,0.7466666666666667,0.8207547169811321,0.7851851851851851
"(64, 32, 16)",3,112,0.005,0.0003,12,20,0.72,0.7889908256880734,0.819047619047619,0.8037383177570093,0.7282539682539683,0.7466666666666667,0.822429906542056,0.7695238095238095
"(64, 32, 16)",3,112,0.005,0.0003,13,21,0.7,0.7542372881355932,0.8476190476190476,0.7982062780269058,0.7267724867724868,0.7466666666666667,0.822429906542056,0.757037037037037
"(64, 32, 16)",3,112,0.005,0.0004,10,29,0.7,0.7777777777777778,0.8,0.7887323943661971,0.7147089947089948,0.7266666666666667,0.8038277511961722,0.7737566137566138
"(64, 32, 16)",3,112,0.005,0.0004,11,19,0.72,0.7692307692307693,0.8571428571428571,0.8108108108108109,0.7517460317460317,0.7533333333333333,0.8262910798122066,0.7788359788359789
"(64, 32, 16)",3,112,0.005,0.0004,12,23,0.7066666666666667,0.7798165137614679,0.8095238095238095,0.794392523364486,0.7386243386243385,0.7066666666666667,0.7884615384615384,0.7606349206349207
"(64, 32, 16)",3,112,0.005,0.0004,13,28,0.74,0.7704918032786885,0.8952380952380953,0.8281938325991189,0.7479365079365079,0.76,0.8363636363636363,0.7765079365079365
"(64, 32, 16)",3,112,0.005,0.0005,10,24,0.6866666666666666,0.7543859649122807,0.819047619047619,0.7853881278538812,0.7121693121693122,0.7333333333333333,0.8113207547169812,0.7877248677248677
"(64, 32, 16)",3,112,0.005,0.0005,11,29,0.6866666666666666,0.7543859649122807,0.819047619047619,0.7853881278538812,0.7075132275132276,0.74,0.8059701492537313,0.7930158730158731
"(64, 32, 16)",3,112,0.005,0.0005,12,27,0.6933333333333334,0.7521367521367521,0.8380952380952381,0.7927927927927928,0.7401058201058202,0.76,0.8317757009345794,0.7834920634920636
"(64, 32, 16)",3,112,0.005,0.0005,13,20,0.7533333333333333,0.8269230769230769,0.819047619047619,0.8229665071770335,0.7752380952380952,0.7133333333333334,0.7942583732057417,0.7765079365079366
"(64, 32, 16)",3,112,0.005,0.0006,10,18,0.72,0.7603305785123967,0.8761904761904762,0.8141592920353983,0.7602116402116403,0.7466666666666667,0.8207547169811321,0.7733333333333332
"(64, 32, 16)",3,112,0.005,0.0006,11,22,0.7266666666666667,0.7807017543859649,0.8476190476190476,0.8127853881278538,0.7252910052910053,0.7733333333333333,0.8380952380952381,0.7944973544973545
"(64, 32, 16)",3,112,0.005,0.0006,12,28,0.6533333333333333,0.7387387387387387,0.780952380952381,0.7592592592592593,0.7100529100529099,0.7666666666666667,0.8325358851674641,0.7697354497354497
"(64, 32, 16)",3,112,0.005,0.0006,13,32,0.7,0.7586206896551724,0.8380952380952381,0.7963800904977375,0.6903703703703704,0.7533333333333333,0.832579185520362,0.7682539682539683
"(64, 32, 16)",3,112,0.005,0.0007,10,27,0.6733333333333333,0.7258064516129032,0.8571428571428571,0.7860262008733624,0.688042328042328,0.72,0.8055555555555556,0.7606349206349207
"(64, 32, 16)",3,112,0.005,0.0007,11,21,0.6933333333333334,0.7657657657657657,0.8095238095238095,0.7870370370370371,0.7096296296296296,0.7266666666666667,0.8019323671497585,0.7477248677248677
"(64, 32, 16)",3,112,0.005,0.0007,12,29,0.7133333333333334,0.7719298245614035,0.8380952380952381,0.8036529680365296,0.7267724867724868,0.7333333333333333,0.8130841121495327,0.7784126984126983
"(64, 32, 16)",3,112,0.005,0.0007,13,19,0.7266666666666667,0.7461538461538462,0.9238095238095239,0.825531914893617,0.7574603174603175,0.7466666666666667,0.8272727272727273,0.7805291005291006
"(64, 32, 16)",3,112,0.006,0.0003,10,27,0.7333333333333333,0.7642276422764228,0.8952380952380953,0.8245614035087719,0.7456084656084656,0.7333333333333333,0.8148148148148148,0.7542857142857142
"(64, 32, 16)",3,112,0.006,0.0003,11,20,0.7533333333333333,0.8035714285714286,0.8571428571428571,0.8294930875576036,0.777142857142857,0.7666666666666667,0.8292682926829268,0.7784126984126984
"(64, 32, 16)",3,112,0.006,0.0003,12,25,0.6866666666666666,0.7543859649122807,0.819047619047619,0.7853881278538812,0.7246560846560847,0.76,0.8235294117647058,0.7932275132275133
"(64, 32, 16)",3,112,0.006,0.0003,13,22,0.76,0.7948717948717948,0.8857142857142857,0.8378378378378378,0.7453968253968254,0.7,0.7906976744186046,0.7458201058201058
"(64, 32, 16)",3,112,0.006,0.0004,10,27,0.6733333333333333,0.71875,0.8761904761904762,0.7896995708154506,0.7121693121693121,0.7533333333333333,0.8310502283105022,0.7782010582010582
"(64, 32, 16)",3,112,0.006,0.0004,11,25,0.74,0.7894736842105263,0.8571428571428571,0.821917808219178,0.7521693121693123,0.7733333333333333,0.8380952380952381,0.7648677248677248
"(64, 32, 16)",3,112,0.006,0.0004,12,23,0.7333333333333333,0.7927927927927928,0.8380952380952381,0.8148148148148148,0.7297354497354497,0.74,0.8151658767772512,0.7453968253968254
"(64, 32, 16)",3,112,0.006,0.0004,13,23,0.6866666666666666,0.7543859649122807,0.819047619047619,0.7853881278538812,0.7441269841269841,0.78,0.8450704225352113,0.8061375661375662
"(64, 32, 16)",3,112,0.006,0.0005,10,21,0.7333333333333333,0.768595041322314,0.8857142857142857,0.8230088495575221,0.7295238095238095,0.7733333333333333,0.8425925925925926,0.7790476190476191
"(64, 32, 16)",3,112,0.006,0.0005,11,24,0.7,0.7777777777777778,0.8,0.7887323943661971,0.7352380952380952,0.72,0.7961165048543689,0.7504761904761904
"(64, 32, 16)",3,112,0.006,0.0005,12,20,0.7,0.7631578947368421,0.8285714285714286,0.7945205479452054,0.6808465608465608,0.7333333333333333,0.803921568627451,0.7485714285714284
"(64, 32, 16)",3,112,0.006,0.0005,13,28,0.68,0.7663551401869159,0.780952380952381,0.7735849056603774,0.7362962962962963,0.72,0.8,0.7648677248677249
"(64, 32, 16)",3,112,0.006,0.0006,10,30,0.6933333333333334,0.7610619469026548,0.819047619047619,0.7889908256880734,0.7318518518518519,0.72,0.7961165048543689,0.77989417989418
"(64, 32, 16)",3,112,0.006,0.0006,11,19,0.72,0.7560975609756098,0.8857142857142857,0.8157894736842105,0.7485714285714286,0.7133333333333334,0.8054298642533937,0.7473015873015874
"(64, 32, 16)",3,112,0.006,0.0006,12,27,0.7066666666666667,0.7563025210084033,0.8571428571428571,0.8035714285714286,0.7155555555555555,0.7466666666666667,0.8207547169811321,0.7724867724867723
"(64, 32, 16)",3,112,0.006,0.0006,13,21,0.7266666666666667,0.7807017543859649,0.8476190476190476,0.8127853881278538,0.7288888888888888,0.7733333333333333,0.8365384615384616,0.7591534391534391
"(64, 32, 16)",3,112,0.006,0.0007,10,23,0.6933333333333334,0.7521367521367521,0.8380952380952381,0.7927927927927928,0.6996825396825398,0.7466666666666667,0.8155339805825242,0.7735449735449734
"(64, 32, 16)",3,112,0.006,0.0007,11,22,0.7066666666666667,0.7520661157024794,0.8666666666666667,0.8053097345132744,0.7528042328042328,0.7466666666666667,0.8240740740740741,0.7686772486772487
"(64, 32, 16)",3,112,0.006,0.0007,12,21,0.7133333333333334,0.7870370370370371,0.8095238095238095,0.7981220657276995,0.7466666666666666,0.72,0.7920792079207921,0.7792592592592593
"(64, 32, 16)",3,112,0.006,0.0007,13,23,0.7266666666666667,0.8137254901960784,0.7904761904761904,0.8019323671497585,0.7316402116402116,0.7333333333333333,0.8,0.7896296296296297
"(64, 32, 16)",3,112,0.007,0.0003,10,21,0.7133333333333334,0.7767857142857143,0.8285714285714286,0.8018433179723502,0.7447619047619047,0.6933333333333334,0.7766990291262136,0.7390476190476191
"(64, 32, 16)",3,112,0.007,0.0003,11,22,0.6933333333333334,0.7610619469026548,0.819047619047619,0.7889908256880734,0.6891005291005291,0.7533333333333333,0.8229665071770335,0.7712169312169312
"(64, 32, 16)",3,112,0.007,0.0003,12,28,0.7,0.7459016393442623,0.8666666666666667,0.801762114537445,0.7227513227513227,0.7266666666666667,0.8093023255813954,0.7578835978835979
"(64, 32, 16)",3,112,0.007,0.0003,13,20,0.74,0.7704918032786885,0.8952380952380953,0.8281938325991189,0.7585185185185185,0.72,0.8,0.7583068783068783
"(64, 32, 16)",3,112,0.007,0.0004,10,18,0.7,0.7542372881355932,0.8476190476190476,0.7982062780269058,0.7288888888888889,0.7266666666666667,0.8093023255813954,0.7720634920634921
"(64, 32, 16)",3,112,0.007,0.0004,11,23,0.6866666666666666,0.7543859649122807,0.819047619047619,0.7853881278538812,0.7013756613756614,0.78,0.8450704225352113,0.7934391534391534
"(64, 32, 16)",3,112,0.007,0.0004,12,20,0.72,0.7739130434782608,0.8476190476190476,0.8090909090909091,0.7525925925925926,0.7466666666666667,0.8207547169811321,0.7913227513227513
"(64, 32, 16)",3,112,0.007,0.0004,13,34,0.7266666666666667,0.826530612244898,0.7714285714285715,0.7980295566502463,0.7614814814814815,0.72,0.79,0.7817989417989418
"(64, 32, 16)",3,112,0.007,0.0005,10,19,0.7333333333333333,0.7559055118110236,0.9142857142857143,0.8275862068965517,0.7500529100529101,0.76,0.8317757009345794,0.7794708994708994
"(64, 32, 16)",3,112,0.007,0.0005,11,15,0.7333333333333333,0.7981651376146789,0.8285714285714286,0.8130841121495327,0.7762962962962963,0.7333333333333333,0.8058252427184466,0.7635978835978836
"(64, 32, 16)",3,112,0.007,0.0005,12,27,0.7066666666666667,0.7401574803149606,0.8952380952380953,0.8103448275862069,0.7341798941798942,0.74,0.8151658767772512,0.7716402116402116
"(64, 32, 16)",3,112,0.007,0.0005,13,31,0.7133333333333334,0.7672413793103449,0.8476190476190476,0.8054298642533937,0.7373544973544973,0.7666666666666667,0.8341232227488151,0.7892063492063491
"(64, 32, 16)",3,112,0.007,0.0006,10,20,0.7333333333333333,0.76,0.9047619047619048,0.8260869565217391,0.7466666666666668,0.78,0.852017937219731,0.7568253968253968
"(64, 32, 16)",3,112,0.007,0.0006,11,31,0.6533333333333333,0.7345132743362832,0.7904761904761904,0.7614678899082569,0.6808465608465608,0.74,0.8097560975609757,0.7801058201058201
"(64, 32, 16)",3,112,0.007,0.0006,12,17,0.8,0.8099173553719008,0.9333333333333333,0.8672566371681416,0.7932275132275133,0.7466666666666667,0.819047619047619,0.7686772486772487
"(64, 32, 16)",3,112,0.007,0.0006,13,20,0.6933333333333334,0.743801652892562,0.8571428571428571,0.7964601769911505,0.6946031746031747,0.74,0.821917808219178,0.7348148148148148
"(64, 32, 16)",3,112,0.007,0.0007,10,30,0.6933333333333334,0.7478991596638656,0.8476190476190476,0.7946428571428571,0.6721693121693122,0.6933333333333334,0.7766990291262136,0.7299470899470899
"(64, 32, 16)",3,112,0.007,0.0007,11,18,0.6866666666666666,0.7543859649122807,0.819047619047619,0.7853881278538812,0.7047619047619047,0.74,0.821917808219178,0.7659259259259259
"(64, 32, 16)",3,112,0.007,0.0007,12,27,0.6866666666666666,0.7416666666666667,0.8476190476190476,0.7911111111111111,0.7331216931216931,0.7333333333333333,0.8198198198198198,0.7705820105820106
"(64, 32, 16)",3,112,0.007,0.0007,13,27,0.7066666666666667,0.7606837606837606,0.8476190476190476,0.8018018018018018,0.7161904761904763,0.76,0.8301886792452831,0.7707936507936508
"(64, 32, 16)",3,112,0.008,0.0003,10,23,0.7266666666666667,0.7857142857142857,0.8380952380952381,0.8110599078341014,0.750899470899471,0.7466666666666667,0.819047619047619,0.7775661375661376
"(64, 32, 16)",3,112,0.008,0.0003,11,28,0.72,0.7603305785123967,0.8761904761904762,0.8141592920353983,0.7489947089947089,0.7333333333333333,0.8095238095238095,0.7773544973544975
"(64, 32, 16)",3,112,0.008,0.0003,12,26,0.6933333333333334,0.7610619469026548,0.819047619047619,0.7889908256880734,0.7096296296296296,0.74,0.8151658767772512,0.7661375661375661
"(64, 32, 16)",3,112,0.008,0.0003,13,26,0.7,0.7586206896551724,0.8380952380952381,0.7963800904977375,0.7534391534391535,0.7466666666666667,0.819047619047619,0.7908994708994708
"(64, 32, 16)",3,112,0.008,0.0004,10,19,0.6466666666666666,0.7321428571428571,0.780952380952381,0.7557603686635944,0.7214814814814814,0.72,0.7941176470588235,0.7348148148148149
"(64, 32, 16)",3,112,0.008,0.0004,11,18,0.7,0.7777777777777778,0.8,0.7887323943661971,0.7058201058201059,0.7466666666666667,0.819047619047619,0.754920634920635
"(64, 32, 16)",3,112,0.008,0.0004,12,24,0.68,0.7714285714285715,0.7714285714285715,0.7714285714285715,0.6893121693121693,0.6666666666666666,0.75,0.6982010582010583
"(64, 32, 16)",3,112,0.008,0.0004,13,21,0.68,0.7394957983193278,0.8380952380952381,0.7857142857142857,0.6937566137566138,0.6866666666666666,0.7793427230046949,0.7564021164021164
"(64, 32, 16)",3,112,0.008,0.0005,10,29,0.7133333333333334,0.7719298245614035,0.8380952380952381,0.8036529680365296,0.7030687830687831,0.76,0.8348623853211009,0.7841269841269841
"(64, 32, 16)",3,112,0.008,0.0005,11,18,0.7133333333333334,0.7719298245614035,0.8380952380952381,0.8036529680365296,0.7229629629629629,0.7,0.7761194029850746,0.7523809523809524
"(64, 32, 16)",3,112,0.008,0.0005,12,22,0.6866666666666666,0.7685185185185185,0.7904761904761904,0.7793427230046949,0.6738624338624338,0.7266666666666667,0.8056872037914692,0.7729100529100529
"(64, 32, 16)",3,112,0.008,0.0005,13,27,0.7133333333333334,0.7767857142857143,0.8285714285714286,0.8018433179723502,0.7485714285714286,0.76,0.8269230769230769,0.7731216931216932
"(64, 32, 16)",3,112,0.008,0.0006,10,26,0.7,0.7727272727272727,0.8095238095238095,0.7906976744186046,0.7083597883597883,0.72,0.8018867924528302,0.7549206349206349
"(64, 32, 16)",3,112,0.008,0.0006,11,20,0.6933333333333334,0.7757009345794392,0.7904761904761904,0.7830188679245284,0.6958730158730159,0.7,0.7668393782383419,0.7631746031746032
"(64, 32, 16)",3,112,0.008,0.0006,12,18,0.74,0.775,0.8857142857142857,0.8266666666666667,0.7407407407407408,0.7666666666666667,0.8416289592760181,0.7521693121693123
"(64, 32, 16)",3,112,0.008,0.0006,13,25,0.7133333333333334,0.7818181818181819,0.819047619047619,0.8,0.7252910052910053,0.68,0.7575757575757576,0.7284656084656085
"(64, 32, 16)",3,112,0.008,0.0007,10,24,0.7133333333333334,0.7980769230769231,0.7904761904761904,0.7942583732057417,0.720846560846561,0.72,0.7920792079207921,0.750899470899471
"(64, 32, 16)",3,112,0.008,0.0007,11,22,0.6933333333333334,0.7610619469026548,0.819047619047619,0.7889908256880734,0.6865608465608466,0.7333333333333333,0.8148148148148148,0.7422222222222222
"(64, 32, 16)",3,112,0.008,0.0007,12,29,0.7066666666666667,0.7699115044247787,0.8285714285714286,0.7981651376146789,0.6941798941798942,0.7466666666666667,0.8173076923076923,0.7665608465608466
"(64, 32, 16)",3,112,0.008,0.0007,13,25,0.72,0.7787610619469026,0.8380952380952381,0.8073394495412844,0.704126984126984,0.72,0.7941176470588235,0.7614814814814814
